Antuco, Población total sabe leer y escribir, 2994.0
Los Ángeles, Población total sabe leer y escribir, 128179.0
Quilleco, Población total sabe leer y escribir, 7710.0
Curanilahue, Población total sabe leer y escribir, 23989.0
Nacimiento, Población total sabe leer y escribir, 19149.0
Negrete, Población total sabe leer y escribir, 6233.0
Lebu, Población total sabe leer y escribir, 18903.0
Los Álamos, Población total sabe leer y escribir, 13659.0
Santa Bárbara, Población total sabe leer y escribir, 14111.0
Quilaco, Población total sabe leer y escribir, 3027.0
Mulchén, Población total sabe leer y escribir, 21398.0
Cañete, Población total sabe leer y escribir, 22954.0
Alto Biobío, Población total sabe leer y escribir, -
Contulmo, Población total sabe leer y escribir, 4224.0
Tirúa, Población total sabe leer y escribir, 6612.0
Región De La Araucanía, Población total sabe leer y escribir, 668678.0
Renaico, Población total sabe leer y escribir, 6918.0
Angol, Población total sabe leer y escribir, 38016.0
Collipulli, Población total sabe leer y escribir, 16498.0
Los Sauces, Población total sabe leer y escribir, 5422.0
Purén, Población total sabe leer y escribir, 9337.0
Ercilla, Población total sabe leer y escribir, 6120.0
Lumaco, Población total sabe leer y escribir, 7777.0
Victoria, Población total sabe leer y escribir, 26044.0
Traiguén, Población total sabe leer y escribir, 14665.0
Galvarino, Población total sabe leer y escribir, 8504.0
Perquenco, Población total sabe leer y escribir, 4740.0
Curacautín, Población total sabe leer y escribir, 13085.0
Lonquimay, Población total sabe leer y escribir, 7139.0
Lautaro, Población total sabe leer y escribir, 24248.0
Cholchol, Población total sabe leer y escribir, -
Vilcún, Población total sabe leer y escribir, 16673.0
Carahue, Población total sabe leer y escribir, 18984.0
Temuco, Población total sabe leer y escribir, 199416.0
Nueva Imperial, Población total sabe leer y escribir, 29881.0
Padre Las Casas, Población total sabe leer y escribir, 44430.0
Saavedra, Población total sabe leer y escribir, 10178.0
Melipeuco, Población total sabe leer y escribir, 4106.0
Cunco, Población total sabe leer y escribir, 14386.0
Freire, Población total sabe leer y escribir, 19156.0
Pitrufquén, Población total sabe leer y escribir, 17360.0
Teodoro Schmidt, Población total sabe leer y escribir, 11680.0
Gorbea, Población total sabe leer y escribir, 11934.0
Toltén, Población total sabe leer y escribir, 8324.0
Pucón, Población total sabe leer y escribir, 16153.0
Villarrica, Población total sabe leer y escribir, 35225.0
Curarrehue, Población total sabe leer y escribir, 4677.0
Loncoche, Población total sabe leer y escribir, 17602.0
Región De Los Lagos, Población total sabe leer y escribir, 836860.0
Mariquina, Población total sabe leer y escribir, 13623.0
Lanco, Población total sabe leer y escribir, 11524.0
Panguipulli, Población total sabe leer y escribir, 24487.0
Máfil, Población total sabe leer y escribir, 5448.0
Valdivia, Población total sabe leer y escribir, 114965.0
Los Lagos, Población total sabe leer y escribir, 15004.0
Corral, Población total sabe leer y escribir, 4266.0
Paillaco, Población total sabe leer y escribir, 14652.0
Futrono, Población total sabe leer y escribir, 10907.0
La Unión, Población total sabe leer y escribir, 30734.0
Lago Ranco, Población total sabe leer y escribir, 7415.0
Río Bueno, Población total sabe leer y escribir, 24972.0
San Pablo, Población total sabe leer y escribir, 7762.0
Osorno, Población total sabe leer y escribir, 116490.0
San Juan De La Costa, Población total sabe leer y escribir, 6238.0
Puyehue, Población total sabe leer y escribir, 8826.0
Río Negro, Población total sabe leer y escribir, 11340.0
Purranque, Población total sabe leer y escribir, 15799.0
Puerto Octay, Población total sabe leer y escribir, 7675.0
Frutillar, Población total sabe leer y escribir, 11903.0
Fresia, Población total sabe leer y escribir, 9590.0
Llanquihue, Población total sabe leer y escribir, 12458.0
Puerto Varas, Población total sabe leer y escribir, 25837.0
Los Muermos, Población total sabe leer y escribir, 13003.0
Puerto Montt, Población total sabe leer y escribir, 138815.0
Maullín, Población total sabe leer y escribir, 11977.0
Cochamó, Población total sabe leer y escribir, 3405.0
Calbuco, Población total sabe leer y escribir, 23198.0
Ancud, Población total sabe leer y escribir, 31501.0
Hualaihué, Población total sabe leer y escribir, 6151.0
Quemchi, Población total sabe leer y escribir, 6546.0
Dalcahue, Población total sabe leer y escribir, 8165.0
Curaco De Vélez, Población total sabe leer y escribir, 2647.0
Quinchao, Población total sabe leer y escribir, 6837.0
Castro, Población total sabe leer y escribir, 31127.0
Puqueldón, Población total sabe leer y escribir, 3158.0
Chonchi, Población total sabe leer y escribir, 9829.0
Queilén, Población total sabe leer y escribir, 3797.0
Chaitén, Población total sabe leer y escribir, 5593.0
Quellón, Población total sabe leer y escribir, 16551.0
